SymptomEn,SymptomKo
itching,가려움
skin_rash,피부 발진
nodal_skin_eruptions,결절성 피부 발진
continuous_sneezing,계속되는 재채기
shivering,떨림
chills,오한
joint_pain,관절통
stomach_pain,복통
acidity,위산 과다
ulcers_on_tongue,혀의 궤양
muscle_wasting,근육 소모
vomiting,구토
burning_micturition,배뇨 시 작열감
spotting_urination,소변에 혈점
fatigue,피로
weight_gain,체중 증가
anxiety,불안
cold_hands_and_feets,손발이 차가움
mood_swings,기분 변화
weight_loss,체중 감소
restlessness,불안정
lethargy,무기력
patches_in_throat,목의 반점
irregular_sugar_level,불규칙한 혈당 수치
cough,기침
high_fever,고열
sunken_eyes,눈이 움푹 들어감
breathlessness,숨 가쁨
sweating,발한
dehydration,탈수
indigestion,소화 불량
headache,두통
yellowish_skin,황달
dark_urine,짙은 소변
nausea,메스꺼움
loss_of_appetite,식욕 감퇴
pain_behind_the_eyes,눈 뒤 통증
back_pain,요통
constipation,변비
abdominal_pain,복부 통증
diarrhoea,설사
mild_fever,미열
yellow_urine,황색 소변
yellowing_of_eyes,눈의 황변
acute_liver_failure,급성 간부전
fluid_overload,체액 과다
swelling_of_stomach,복부 팽만
swelled_lymph_nodes,림프절 종창
malaise,불쾌감
blurred_and_distorted_vision,시야 흐림 및 왜곡
phlegm,가래
throat_irritation,목 자극
redness_of_eyes,눈의 발적
sinus_pressure,부비동 압력
runny_nose,콧물
congestion,충혈
chest_pain,흉통
weakness_in_limbs,팔다리 약화
fast_heart_rate,빠른 심박수
pain_during_bowel_movements,배변 시 통증
pain_in_anal_region,항문 부위 통증
bloody_stool,혈변
irritation_in_anus,항문 자극
neck_pain,목 통증
dizziness,어지럼증
cramps,경련
bruising,멍
obesity,비만
swollen_legs,다리 부종
swollen_blood_vessels,혈관 부종
puffy_face_and_eyes,얼굴 및 눈의 부종
enlarged_thyroid,갑상선 비대
brittle_nails,부서지기 쉬운 손톱
swollen_extremeties,사지 부종
excessive_hunger,과도한 식욕
extra_marital_contacts,혼외 관계
drying_and_tingling_lips,건조하고 저린 입술
slurred_speech,발음이 부정확한 말
knee_pain,무릎 통증
hip_joint_pain,고관절 통증
muscle_weakness,근육 약화
stiff_neck,뻣뻣한 목
swelling_joints,관절 부종
movement_stiffness,움직임 경직
spinning_movements,회전 운동
loss_of_balance,균형 상실
unsteadiness,불안정성
weakness_of_one_body_side,한쪽 신체 약화
loss_of_smell,후각 상실
bladder_discomfort,방광 불편감
foul_smell_ofurine,악취 나는 소변
continuous_feel_of_urine,지속적인 배뇨감
passage_of_gases,가스 배출
internal_itching,내부 가려움
toxic_look_(typhos),독성 외관 (티포스)
depression,우울증
irritability,과민성
muscle_pain,근육통
altered_sensorium,의식 변화
red_spots_over_body,신체에 붉은 반점
belly_pain,복통
abnormal_menstruation,비정상적인 월경
dischromic_patches,색소 변화 반점
watering_from_eyes,눈물
increased_appetite,식욕 증가
polyuria,다뇨
family_history,가족력
mucoid_sputum,점액성 가래
rusty_sputum,녹색 가래
lack_of_concentration,집중력 부족
visual_disturbances,시각 장애
receiving_blood_transfusion,수혈 받음
receiving_unsterile_injections,비멸균 주사 받음
coma,혼수
stomach_bleeding,위 출혈
distention_of_abdomen,복부 팽만
history_of_alcohol_consumption,음주력
fluid_overload,체액 과다
blood_in_sputum,객혈
prominent_veins_on_calf,종아리의 두드러진 정맥
palpitations,심계항진
painful_walking,통증을 동반한 보행
pus_filled_pimples,고름찬 여드름
blackheads,블랙헤드
scurring,흉터
skin_peeling,피부 벗겨짐
silver_like_dusting,은빛 가루 같은 피부
small_dents_in_nails,손톱의 작은 홈
inflammatory_nails,염증성 손톱
blister,물집
red_sore_around_nose,코 주위의 붉은 염증
yellow_crust_ooze,황색 딱지 분비물
prognosis,예후
