질문,답변
과탄산소다 섭취 후 복통이 심합니다. 설사약포타겔 먹어도 되나요?,안녕하세요. 메디이즈입니다. 복통이 있으시면 포겔을 드셔도 됩니다. 증상이 조절되지 않거나 심해지면 진료를 받아보시는 것이 좋을 것 같습니다
스트레스와 혈당,안녕하세요. 메디이즈입니다. 공복혈당이 126이 넘으면 당뇨로 진단할 수 있습니다. 당장 진료가 필요한것은 아니지만 주기적으로 당화혈색소 측정이 필요하고 체중을 십프로 정도 감량 하셔야 합니다
손가락 저림이 생겼어요 ,안녕하세요. 메디이즈입니다.  전기자극으로 인해 저린증상이 일시적으로 나타난 것 같네요. 만약 저린증상이 회복되지 않고 지속된다면 신경과 진료를 받아보세요.  근이완제는 근육이 강직되거나 경련으로 인한 통증을 완화시키는 약물입니다. 저린증상같은 신경계 통증과는 무관합니다.
소금 많이 먹기,안녕하세요. 메디이즈입니다. 의학적으로 권장되는 상황은 아닙니다. 지금 상태를 정확하게 파악하고 절절한 처방을 받아보시는 것이 필요하다고 생각됩니다
Hiv 항체 질문,안녕하세요. 메디이즈입니다.  피부건선이 자가면역질환에 의한 것이 있을수 있지만.. 피부에만 영향을 주고.. 감염에 의한 항체생성을 억제시키지는 않습니다.  면역억제제는 항체반응을 감소시켜.. 항체가 안생기게 할수는 없겠지만 항체반응을 늦출수는 있겠네요.  항체가 늦게 검출된다면.. 건선보다는 면역억제제의 가능성이 더 높아보입니다.
오른쪽 아랫배에 통증이 있어요,안녕하세요. 메디이즈입니다. 증상이 점점 심해지면 빠른 시간안에 병원에서 진료를 받아보시는 것을 권합니다. 변비가 있다고 하면 출혈이 치핵이나 치열 때문일 수 있습니다.
착상혈 관련 질문,안녕하세요. 메디이즈입니다.  Yuzpe 방법은 전문 응급피임약에 비해 부작용 위험이 높고 효과도 다소 낮지만 응급상황에서 경구피임약만 있는 경우 임시방편으로 사용할 수 있습니다. Yuzpe 피임법의 성공률과 실패율은 다음과 같습니다 성공률  대략 5787의 성공률을 보입니다. 즉 Yuzpe 방법을 사용했을 때 5787명 중 1343명이 임신하지 않는 것으로 나타났습니다.  실패율임신률  1343의 실패율이 보고되고 있습니다. 즉 Yuzpe 방법을 사용한 100명 중 약 1343명이 임신할 수 있다는 의미입니다. 착상혈은 양이 작아서 알아차리기 어려운 경우가 많습니다. 부정출혈의 가능성이 높습니다. 임신가능성에 대하여서는 임태기 검사가 더 필요할 수 있습니다
얼굴 상처 흉터,안녕하세요. 메디이즈입니다. 흉터라면 없어지지는 않을 것으로 생각됩니다. 옅어질 수는 있지만 없어지지는 않아요. 색소 침착이라면 시간이 지나면서 점점 옅어질 겁니다
몸이 차갑고 혈액순환이 안되는것같으며 산소포화도가 낮고 최근엔 발에서 땀이 잘 남,안녕하세요. 메디이즈입니다. 체중이 키에 비하여 너무 조금 밖에 안나가네요. 식사는 규칙적으로 잘하나요? 스트레스가 많거나 운동이 부족하면 수족냉증이 생길 수 있으니 운동을 열심히 하시면서 체중이랑 근육양을 좀 늘려보셔요
10개월 아기 분유수유량 질문있습니다,안녕하세요. 메디이즈입니다. 아이가 잘 성장하고 있으면 양을 굳이 얼마에 맞추거나 할 필요는 없어보입니다. 모자라지 않게 또 과하지 않게 주시면 될것 같습니다
왼쪽 고환 통증,안녕하세요. 메디이즈입니다. 비뇨기과 진료가 필요할 수 있습니다. 가장흔한 원인은 정계정맥류라는 질환인데 진료를 통해서 확인해보시는 것이 필요합니다
장티푸스 비보티프 백신 투약 기간,안녕하세요. 메디이즈입니다. 정확하게 알기가 어렵네요 보통일반 백신의 경우로 미루어 보면 처음부터 다시할 필요는 없어보이긴 한데요.... 접종해주시는 선생님과 상의 해보셔요
교차감염되나요???,안녕하세요.  요약 1. 네 교차감염 가능합니다. 2. 실제 둘다 동시에 양성이 나오는 경우도 있습니다. 3. 2가 입으로 1이 성기로 가는 경우도 꽤 있습니다.  건승하세요.
몸이 차갑고 혈액순환이 안되는것같으며 산소포화도가 낮고 최근엔 발에서 땀이 잘 남,안녕하세요. 메디이즈입니다. 체중이 키에 비하여 너무 조금 밖에 안나가네요. 식사는 규칙적으로 잘하나요? 스트레스가 많거나 운동이 부족하면 수족냉증이 생길 수 있으니 운동을 열심히 하시면서 체중이랑 근육양을 좀 늘려보셔요
얼굴 상처 흉터,안녕하세요. 메디이즈입니다. 흉터라면 없어지지는 않을 것으로 생각됩니다. 옅어질 수는 있지만 없어지지는 않아요. 색소 침착이라면 시간이 지나면서 점점 옅어질 겁니다
갑자기 검은 점이 생김 HPV의심?,안녕하세요  요약 1. 그냥 점입니다. 2. 혹시나 물사마귀인지 지켜 보세요 3. 정작 성기나 구강은 멀쩡한데 다른 부위에 저런 모양으로 생기진 않습니다.  건승하세요
Hpv 및 키스 임신에 관해 질문드립니다..,안녕하세요  요약 1. HPV는 성접촉으로 감염이 되고 전염이 됩니다. 2. 키스만 한다고 임신하는 건 동화에서 나오는 얘기입니다. 3. 정액이 나오면 팬티만 젖게 됩니다.  성접촉을 통해 감염되는 인유두종 바이러스Human papiloma virus 즉 HPV는 여성에게 자궁경부암을 일으킬 뿐만 아니라 남성에게도 직접적으로 작용하여 생식기 사마귀 항문암 음경암 두경부암 구인두암을 일으키는 주요원인이 됩니다.  건승하세요
눈 광시증 정밀검사 질문입니다,안녕하세요  요약 1. 망막과 유리체 질환이 없다고 하면 괜찮은 겁니다. 2. 망막에 문제가 없다는 건 박리도 아니고 망막병증도 없다는 겁니다.  광시증은 생리학적으로 노화 고도근시 둔상으로 발생할 수 있고  병적으로 망막이나 유리체 질환이 원인이 될 수 있습니다. 망막박리 망막열공 유리체 출혈 포도막염 등에 의해 광시증이 동반될 수 있습니다.  광시증이 발생할 경우 매번 망막과 유리체 질환이 있는지 안과적 정밀 검사를 받아 보아야 합니다.  건승하세요
3세대 피임약 복용중 4세대로 갈아타도 괜찮을까요?,안녕하세요  약을 바꿀 경우에는 다음 생리 예정일까지 기다리지 않고  아무때나 새 경구피임약을 복용하되 바꾸는 시점이 월경시작일로부터 5일 이상 지났다면 7일 정도는 다른 피임법을 병행하는게 좋습니다.  건승하세요
10개월 아기 분유수유량 질문있습니다,안녕하세요. 메디이즈입니다. 아이가 잘 성장하고 있으면 양을 굳이 얼마에 맞추거나 할 필요는 없어보입니다. 모자라지 않게 또 과하지 않게 주시면 될것 같습니다
생리중 어지러움증과 식욕떨어져도 괜찮은건가요?,안녕하세요. 메디이즈입니다. 생리 양이 많으신편이거나 이런증상이 반복해서 일어난다고 하면 빈혈은 없는지 혈액검사를 해볼 필요가 있다고 판단됩니다
불알크기 질문,안녕하세요  한쪽 고환이 다른 쪽보다 약간 아래에 있는 것은 정상입니다. 보통은 왼쪽 고환이 더 낮게 매달려 있습니다.  그리고  한쪽 고환이 다른 쪽 고환보다 더 큰 경우가 많은데 대개 오른쪽 고환은 왼쪽보다 약간 큽니다.  이건 오른쪽 고환이 왼쪽 고환보다 더 빨리 발달하기 때문입니다.  건승하세요
생리중 어지러움증과 식욕떨어져도 괜찮은건가요?,안녕하세요. 메디이즈입니다. 생리 양이 많으신편이거나 이런증상이 반복해서 일어난다고 하면 빈혈은 없는지 혈액검사를 해볼 필요가 있다고 판단됩니다
혈당 질문좀 드립니다,안녕하세요. 메디이즈입니다.  주신 내용을 보았을 때 혈당스파이크 즉 혈당이 높고 낮음의 격차가 매우 심하게 오고 가는 듯합니다 저녁식사의 내용이 다르지 않다해도 혈당이 높음은 하루 24시간동안 에너지 대사율이 다르고 인슐린만이 아닌 다른 호르몬들의 분비능이 서로 다르기에 같은 조건이라해도 하루 중 혈당 혈압등은 다 다를 수 있게 됩니다  당화혈색소는 정상이나 혈당의 높낮음의 폭이 크다면 최근 연속으로 혈당을 10일이나 15일을 지속체크하는 기기들이 나오고 있습니다. 비용은 대략 10만원에서 15만원 사이로 알고 있는데 만약 주치의 선생님이 게시다면 해당 기기를 가볍게 마치 파스처럼 팔에 붙여두면 연속해서 혈당을 체크하여 이를 본인과 주치의 핸드폰으로 정보가 가서 그 변화폭의 그래프를 볼 수 있게 될 것입니다  대표적으로 현재 추천해드릴 기기는 카카오에서 출시되고 있는 파스타라는 혈당관리 기기입니다 온라인상에서 주치의와 함께 볼 수 있기에 혈당관리에서 매우 중요한 데이타를 얻으실 수 있을 것입니다
주기적으로 걸리는 편도염,안녕하세요. 메디이즈입니다. 자주 아프셔서 많이 불편하시겠네요. 면역력을 기르기 위하여 규칙적인 운동을 권해드리고 비타민씨 메가도즈 요법도 고려해보셔요. 잠은 잘 주무시죠?
속 울렁거림 구토감 오심,안녕하세요. 메디이즈입니다.  소화불량과 구역감을 호소하시는게 위염의 증상일 수 있습니다. 약물이나 스트레스로 인해 위염이 악화될 수 있습니다. 위내시경 검사를 받아보고 위장질환위염 위궤양 역류성식도염 등등..에 대한 확인을 해보는게 좋겠습니다.
